"Populatie";"Kenmerken van huishoudens";"Perioden";"Regio's";"Particuliere huishoudens (x 1 000)";"Particuliere huishoudens relatief (%)";"Inkomen/Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Mediaan gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Gemiddeld besteedbaar inkomen (1 000 euro)";"Inkomen/Mediaan besteedbaar inkomen (1 000 euro)"
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noord-Nederland (LD)";798,9;100;29,2;26,8;41,8;35,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oost-Nederland (LD)";1601,4;100;31,6;28,5;46,5;39
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"West-Nederland (LD)";3824,3;100;33,5;29,1;48,1;38
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuid-Nederland (LD)";1667,9;100;32,2;28,7;46,7;38,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Groningen (PV)";287,8;100;27,4;25,1;38,2;31,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Fryslân (PV)";292,6;100;29,7;27,1;42,9;36,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Drenthe (PV)";218,5;100;30,9;28,3;44,9;38,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Overijssel (PV)";503,8;100;30,9;28;45,6;38,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Flevoland (PV)";175,4;100;31,5;29;47;41,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Gelderland (PV)";922,2;100;32;28,7;46,8;39
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Utrecht (PV)";603,9;100;34,9;30,7;51;41,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noord-Holland (PV)";1354,8;100;34,4;29,1;48,9;37,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuid-Holland (PV)";1691,2;100;32,5;28,5;46,8;37,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zeeland (PV)";174,4;100;31,6;28,6;45,4;38,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noord-Brabant (PV)";1146,8;100;33;29,3;48,1;39,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Limburg (PV)";521,1;100;30,5;27,5;43,4;36
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oost-Groningen (CR)";61,9;100;27,9;25,5;39,9;34
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Delfzijl en omgeving (CR)";21,3;100;28,3;26;39,9;34,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Overig Groningen (CR)";204,6;100;27,2;24,9;37,6;30,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noord-Friesland (CR)";147,7;100;28,6;26,4;41;34,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuidwest-Friesland (CR)";62;100;31,2;28,2;45,6;38,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuidoost-Friesland (CR)";82,9;100;30,5;27,5;44,3;37,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noord-Drenthe (CR)";85;100;32,1;29,5;46,6;40,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuidoost-Drenthe (CR)";75,1;100;29,5;26,9;42,9;36,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuidwest-Drenthe (CR)";58,4;100;31;28,2;45,2;38,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noord-Overijssel (CR)";159,1;100;31,5;28,7;46,7;40,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuidwest-Overijssel (CR)";69,4;100;31,2;28,5;45,4;38,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Twente (CR)";275,4;100;30,5;27,4;45,1;37,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Veluwe (CR)";293,7;100;32,9;29,4;49;41,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Achterhoek (CR)";175,1;100;32,4;28,9;47,5;39,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Arnhem/Nijmegen (CR)";351,2;100;30,5;27,5;43,4;35,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuidwest-Gelderland (CR)";102,2;100;34;30,1;51,4;43,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Utrecht (CR)";603,9;100;34,9;30,7;51;41,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Kop van Noord-Holland (CR)";166,9;100;32,4;29,2;47,5;39,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Alkmaar en omgeving (CR)";111,8;100;34,1;30,4;49,4;41
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"IJmond (CR)";88,6;100;33,6;30,6;49;41,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Agglomeratie Haarlem (CR)";107,5;100;37,7;31;54,3;40
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zaanstreek (CR)";76,9;100;31,1;28,5;45,3;38,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Groot-Amsterdam (CR)";687,2;100;34;28;47,1;35,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Het Gooi en Vechtstreek (CR)";116;100;39,8;31,5;58,3;41,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Agglomeratie Leiden en Bollenstreek (CR)";196,7;100;34,3;30,2;49,8;40,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Agglomeratie 's-Gravenhage (CR)";410,1;100;32,7;28;46,4;35,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Delft en Westland (CR)";109;100;31,9;28;46,4;36,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oost-Zuid-Holland (CR)";143,8;100;34,6;30,8;51;43,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Groot-Rijnmond (CR)";671,6;100;31,4;27,6;44,9;35,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuidoost-Zuid-Holland (CR)";160;100;32,8;29,2;48,5;40
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zeeuwsch-Vlaanderen (CR)";49,2;100;31;28,4;44,1;37,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Overig Zeeland (CR)";125,2;100;31,8;28,7;45,9;38,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"West-Noord-Brabant (CR)";286,3;100;32,5;29,1;47,2;39,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Midden-Noord-Brabant (CR)";220,9;100;31,6;28,4;46;38
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noordoost-Noord-Brabant (CR)";286,1;100;34,3;30,1;50,7;41,6
