"Woningtype";"Bouwjaarklasse";"Perioden";"Regio's";"Beginstand woningvoorraad (aantal)";"Gemiddelde oppervlakte (m2)"
"Totaal";"Totaal";"2021";"Nederland";7966331;119
"Totaal";"Totaal";"2021";"Noord-Nederland (LD)";814261;134
"Totaal";"Totaal";"2021";"Oost-Nederland (LD)";1612176;128
"Totaal";"Totaal";"2021";"West-Nederland (LD)";3851851;106
"Totaal";"Totaal";"2021";"Zuid-Nederland (LD)";1688043;133
"Totaal";"Totaal";"2021";"Niet in te delen (LD)";0;
"Totaal";"Totaal";"2021";"Groningen (PV)";285012;128
"Totaal";"Totaal";"2021";"Fryslân (PV)";304693;137
"Totaal";"Totaal";"2021";"Drenthe (PV)";224556;137
"Totaal";"Totaal";"2021";"Overijssel (PV)";514993;129
"Totaal";"Totaal";"2021";"Flevoland (PV)";174659;126
"Totaal";"Totaal";"2021";"Gelderland (PV)";922524;127
"Totaal";"Totaal";"2021";"Utrecht (PV)";593799;114
"Totaal";"Totaal";"2021";"Noord-Holland (PV)";1359800;102
"Totaal";"Totaal";"2021";"Zuid-Holland (PV)";1709692;104
"Totaal";"Totaal";"2021";"Zeeland (PV)";188560;123
"Totaal";"Totaal";"2021";"Noord-Brabant (PV)";1151426;132
"Totaal";"Totaal";"2021";"Limburg (PV)";536617;137
"Totaal";"Totaal";"2021";"Niet in te delen (PV)";0;
"Totaal";"Totaal";"2021";"Oost-Groningen (CR)";64481;140
"Totaal";"Totaal";"2021";"Delfzijl en omgeving (CR)";23083;139
"Totaal";"Totaal";"2021";"Overig Groningen (CR)";197448;124
"Totaal";"Totaal";"2021";"Noord-Friesland (CR)";152754;131
"Totaal";"Totaal";"2021";"Zuidwest-Friesland (CR)";65961;150
"Totaal";"Totaal";"2021";"Zuidoost-Friesland (CR)";85978;137
"Totaal";"Totaal";"2021";"Noord-Drenthe (CR)";87609;139
"Totaal";"Totaal";"2021";"Zuidoost-Drenthe (CR)";76332;133
"Totaal";"Totaal";"2021";"Zuidwest-Drenthe (CR)";60615;140
"Totaal";"Totaal";"2021";"Noord-Overijssel (CR)";162387;132
"Totaal";"Totaal";"2021";"Zuidwest-Overijssel (CR)";70101;125
"Totaal";"Totaal";"2021";"Twente (CR)";282505;128
"Totaal";"Totaal";"2021";"Veluwe (CR)";297865;123
