"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWOZWaardeVanWoningen_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"AantalInkomensontvangers_64";"GemiddeldInkomenPerInkomensontvanger_65";"GemiddeldInkomenPerInwoner_66";"k_40PersonenMetLaagsteInkomen_67";"k_20PersonenMetHoogsteInkomen_68";"Actieven1575Jaar_69";"k_40HuishoudensMetLaagsteInkomen_70";"k_20HuishoudensMetHoogsteInkomen_71";"HuishoudensMetEenLaagInkomen_72";"HuishOnderOfRondSociaalMinimum_73";"PersonenPerSoortUitkeringBijstand_74";"PersonenPerSoortUitkeringAO_75";"PersonenPerSoortUitkeringWW_76";"PersonenPerSoortUitkeringAOW_77";"BedrijfsvestigingenTotaal_78";"ALandbouwBosbouwEnVisserij_79";"BFNijverheidEnEnergie_80";"GIHandelEnHoreca_81";"HJVervoerInformatieEnCommunicatie_82";"KLFinancieleDienstenOnroerendGoed_83";"MNZakelijkeDienstverlening_84";"RUCultuurRecreatieOverigeDiensten_85";"PersonenautoSTotaal_86";"PersonenautoSJongerDan6Jaar_87";"PersonenautoS6JaarEnOuder_88";"PersonenautoSBrandstofBenzine_89";"PersonenautoSOverigeBrandstof_90";"PersonenautoSPerHuishouden_91";"PersonenautoSNaarOppervlakte_92";"Motorfietsen_93";"AfstandTotHuisartsenpraktijk_94";"AfstandTotGroteSupermarkt_95";"AfstandTotKinderdagverblijf_96";"AfstandTotSchool_97";"ScholenBinnen3Km_98";"OppervlakteTotaal_99";"OppervlakteLand_100";"OppervlakteWater_101";"MeestVoorkomendePostcode_102";"Dekkingspercentage_103";"MateVanStedelijkheid_104";"Omgevingsadressendichtheid_105";"TotaalDiefstalUitWoningSchuurED_106";"VernielingMisdrijfTegenOpenbareOrde_107";"GeweldsEnSeksueleMisdrijven_108"
"245";"GM0361    ";"Alkmaar                                 ";"Gemeente  ";"GM0361    ";".";"  108373";"   53659";"   54714";"   17357";"   11933";"   28426";"   30967";"   19690";"   53391";"   39805";"   10108";"    5069";"   10256";"   13675";"    1972";"    1169";"    1475";"    2669";"    6390";"    1089";"      10";"     862";"       7";"   50917";"   20371";"   14174";"   16372";"     2.1";"     981";"   50513";"     189";"      64";"      36";"      97";"       3";"      57";"      41";"      30";"      11";"       2";"      88";"      12";"    2610";"    1950";"    2820";"    2920";"    3230";"    3730";"    2070";"    2980";"    1170";"     840";"    1220";"    1460";"    1650";"    2080";"    1020";"    1320";"       .";"   86300";"    31.5";"    25.6";"    37.2";"    19.9";"    60.4";"    39.4";"    18.6";"     7.8";"     6.9";"    2720";"    6350";"    2050";"   18780";"    9405";"     215";"    1610";"    2110";"     780";"     910";"    2380";"    1390";"   47755";"   13865";"   33890";"   39315";"    8440";"     0.9";"     432";"    4450";"     0.9";"     0.8";"     0.5";"     0.6";"    12.2";"   11735";"   11046";"     689";"         .";"       .";"       2";"    2224";"       3";"       6";"       5"
"246";"WK036101  ";"Alkmaar                                 ";"Wijk      ";"WK036101  ";"1";"   14315";"    6785";"    7525";"    2215";"    1405";"    3330";"    3940";"    3435";"    6790";"    5175";"    1355";"    1005";"    1210";"    1495";"     280";"     105";"     125";"     440";"     545";"     125";"       8";"     245";"      17";"    6790";"    2830";"    1940";"    2030";"     2.0";"    5610";"    7150";"     212";"      57";"      43";"      94";"       6";"      54";"      40";"      30";"      10";"       6";"      91";"       9";"    2500";"    1970";"    2710";"    2990";"    3320";"    3820";"    1980";"    2940";"    1310";"     900";"    1420";"    1790";"    1970";"    2650";"    1060";"    1560";"       .";"   11300";"    33.6";"    27.5";"    37.6";"    21.7";"    58.6";"    40.7";"    21.8";"     7.7";"     7.5";"     360";"     760";"     270";"    3330";"    1110";"       5";"     160";"     150";"      75";"     160";"     375";"     180";"    5555";"    1425";"    4135";"    4700";"     855";"     0.8";"    2178";"     440";"     0.4";"     0.6";"     0.4";"     0.5";"    14.9";"     261";"     255";"       6";"         .";"       .";"       1";"    3183";"       4";"       7";"       3"
"247";"BU03610100";"Alkmaar                                 ";"Buurt     ";"BU03610100";"1";"    2040";"     930";"    1105";"     335";"     245";"     445";"     465";"     560";"     920";"     660";"     230";"     245";"     185";"     615";"     145";"      25";"      35";"     210";"     200";"      15";"       8";"      70";"      34";"     850";"     355";"     195";"     305";"     2.2";"    6304";"    1083";"     137";"      33";"      67";"      90";"      10";"      21";"      59";"      57";"       1";"      21";"      97";"       3";"    2450";"    2210";"    2800";"    3340";"       .";"    4470";"    2320";"    3110";"    1100";"    1040";"    1130";"    1340";"       .";"    3300";"     970";"    1300";"       .";"    1500";"    24.5";"    19.5";"    49.7";"    11.3";"    50.5";"    55.1";"    11.1";"    13.6";"    14.5";"     120";"     130";"      40";"     550";"      60";"       0";"      10";"       5";"       5";"       5";"      20";"      10";"     610";"     145";"     465";"     520";"      90";"     0.7";"    1882";"      40";"     0.4";"     0.5";"     0.4";"     0.2";"    10.8";"      33";"      32";"       0";"      1814";"       1";"       2";"    2368";"       5";"       8";"       6"
"248";"BU03610101";"Alkmaar                                 ";"Buurt     ";"BU03610101";"1";"    1310";"     605";"     700";"     195";"      95";"     330";"     300";"     395";"     565";"     485";"     140";"     130";"      80";"     180";"      30";"      15";"       5";"      80";"      55";"      15";"      13";"      40";"      30";"     655";"     310";"     185";"     165";"     1.9";"    8141";"     654";"     167";"      45";"      55";"      98";"       2";"      55";"      45";"      36";"       9";"       0";"     100";"       0";"    2090";"    1570";"    2530";"    3240";"       .";"       .";"    1630";"    2490";"    1140";"     850";"    1360";"    1790";"       .";"       .";"     830";"    1380";"       .";"    1000";"    28.8";"    23.9";"    41.7";"    16.4";"    60.0";"    49.8";"    15.2";"     8.3";"    11.0";"      40";"      60";"      20";"     390";"      70";"       0";"      15";"      15";"       0";"       0";"      25";"      10";"     435";"     100";"     335";"     375";"      60";"     0.7";"    2714";"      45";"     0.3";"     0.4";"     0.4";"     0.4";"    13.2";"      17";"      16";"       1";"      1814";"       1";"       1";"    3021";"       5";"       4";"       1"
"249";"BU03610102";"Alkmaar                                 ";"Buurt     ";"BU03610102";"1";"    2130";"    1015";"    1110";"     315";"     230";"     545";"     655";"     395";"    1105";"     680";"     235";"     115";"     165";"     295";"      70";"      20";"      25";"      90";"      90";"      10";"       4";"      10";"       5";"    1100";"     505";"     275";"     325";"     1.9";"   10317";"    1055";"     171";"      55";"      45";"      98";"       2";"      50";"      50";"      46";"       5";"       0";"      96";"       4";"    2240";"    1710";"    2600";"    2800";"    2620";"    3010";"    1720";"    2750";"    1170";"     800";"    1370";"    1730";"    1480";"    1780";"     970";"    1400";"       .";"    1800";"    30.0";"    25.1";"    40.9";"    17.9";"    57.7";"    48.2";"    16.9";"    12.3";"     9.8";"      90";"     160";"      50";"     380";"     130";"       0";"      25";"      20";"      15";"      10";"      45";"      15";"     815";"     150";"     665";"     690";"     125";"     0.7";"    3943";"      75";"     0.6";"     0.4";"     0.4";"     0.4";"    15.7";"      22";"      21";"       1";"      1814";"       1";"       1";"    3980";"       3";"       8";"       3"
"250";"BU03610103";"Alkmaar                                 ";"Buurt     ";"BU03610103";"1";"     830";"     365";"     465";"     100";"      65";"     225";"     250";"     200";"     440";"     220";"     130";"      50";"      80";"     115";"      25";"      15";"      10";"      35";"      40";"       5";"       9";"       5";"       8";"     520";"     300";"     110";"     115";"     1.6";"   10122";"     524";"     121";"      65";"      35";"      97";"       3";"      14";"      86";"      73";"      13";"       0";"     100";"       0";"    1790";"    1530";"    1960";"    1840";"       .";"       .";"    1760";"    2050";"    1200";"     930";"    1310";"    1410";"       .";"       .";"    1190";"    1280";"       .";"     700";"    23.8";"    20.7";"    48.6";"     6.5";"    50.8";"    70.6";"     4.0";"    14.1";"    14.1";"      50";"     100";"      20";"     190";"      40";"       0";"      10";"      10";"       5";"       5";"      10";"       5";"     335";"      65";"     270";"     295";"      40";"     0.6";"    4041";"      30";"     0.5";"     0.6";"     0.5";"     0.6";"    15.0";"       9";"       8";"       0";"      1814";"       1";"       1";"    3567";"       1";"       6";"       5"
"251";"BU03610104";"Alkmaar                                 ";"Buurt     ";"BU03610104";"1";"    1535";"     700";"     835";"     205";"     160";"     290";"     390";"     495";"     650";"     585";"     125";"     180";"     155";"      65";"       0";"      10";"      10";"      10";"      35";"      10";"       7";"      70";"      46";"     655";"     285";"     195";"     185";"     2.0";"    8971";"     821";"     273";"      45";"      55";"      84";"      16";"      53";"      27";"      15";"      11";"      21";"      88";"      12";"    2710";"    2120";"    3120";"    3470";"    3910";"    3940";"    2010";"    3180";"    1300";"     800";"    1670";"    2230";"    2490";"    2690";"    1020";"    1690";"       .";"    1100";"    39.0";"    32.1";"    32.5";"    27.9";"    60.8";"    35.8";"    30.6";"     5.1";"     4.9";"      10";"      50";"      30";"     490";"     180";"       0";"      15";"      15";"      10";"      40";"      75";"      20";"     590";"     175";"     415";"     485";"     105";"     0.9";"    3448";"      45";"     0.2";"     0.9";"     0.3";"     0.3";"    16.4";"      18";"      17";"       1";"      1814";"       1";"       1";"    4001";"       4";"      13";"       3"
"252";"BU03610105";"Alkmaar                                 ";"Buurt     ";"BU03610105";"1";"    1535";"     755";"     775";"     270";"     165";"     310";"     450";"     350";"     740";"     620";"     100";"      80";"     135";"      50";"       5";"       5";"      10";"       0";"      30";"      15";"      11";"       5";"       5";"     685";"     250";"     220";"     225";"     2.2";"    2572";"     701";"     302";"      68";"      32";"      96";"       4";"      78";"      22";"       6";"      16";"       0";"      94";"       6";"    2910";"    2170";"    3050";"    3410";"    3670";"    3870";"    2220";"    3110";"    1580";"     910";"    1640";"    2090";"    2310";"    2690";"    1270";"    1670";"       .";"    1200";"    41.9";"    33.3";"    32.3";"    31.4";"    62.4";"    23.6";"    34.9";"     3.0";"     3.7";"      10";"      50";"      30";"     330";"     185";"       5";"      25";"      30";"      10";"      30";"      65";"      25";"     650";"     200";"     450";"     520";"     130";"     0.9";"    1091";"      55";"     0.4";"     0.9";"     0.2";"     0.4";"    16.5";"      61";"      60";"       2";"      1815";"       1";"       1";"    3878";"       6";"       8";"       5"
"253";"BU03610106";"Alkmaar                                 ";"Buurt     ";"BU03610106";"1";"    1235";"     605";"     625";"     175";"      85";"     255";"     350";"     385";"     485";"     590";"      95";"      70";"      90";"      45";"       5";"       0";"      10";"       0";"      30";"      10";"       8";"      10";"       7";"     585";"     180";"     255";"     155";"     2.1";"    2552";"     607";"     338";"      71";"      29";"      93";"       7";"      85";"      14";"       1";"      13";"       1";"      74";"      26";"    2980";"    2480";"    2640";"    2970";"    3180";"    3970";"    2260";"    3100";"    1710";"    1070";"    1360";"    1740";"    1890";"    2870";"    1860";"    1930";"       .";"    1000";"    44.9";"    37.3";"    29.1";"    33.0";"    56.0";"    19.3";"    35.5";"     1.9";"     1.9";"       0";"      40";"      20";"     370";"     115";"       0";"       5";"      20";"      10";"      25";"      30";"      30";"     610";"     195";"     415";"     525";"      90";"     1.0";"    1262";"      40";"     0.6";"     0.7";"     0.8";"     0.9";"    14.7";"      48";"      48";"       0";"      1815";"       1";"       2";"    2060";"       5";"       6";"       1"
"254";"BU03610107";"Alkmaar                                 ";"Buurt     ";"BU03610107";"1";"     500";"     240";"     260";"      80";"      40";"     110";"     150";"     140";"     220";"     210";"      45";"      40";"      40";"      10";"       0";"       0";"       0";"       0";"      10";"       5";"       7";"       0";"       3";"     245";"     110";"      75";"      70";"     2.0";"    2674";"     251";"     280";"      61";"      39";"      98";"       2";"      92";"       8";"       0";"       8";"       0";"      74";"      26";"    2750";"    2310";"    2660";"    2980";"       .";"    3980";"    1880";"    2800";"    1360";"     770";"    1530";"    1810";"       .";"    2170";"    1190";"    1370";"       .";"     400";"    41.2";"    33.4";"    22.7";"    32.3";"    58.9";"    18.5";"    28.1";"     0.4";"     0.4";"       0";"      20";"      10";"     130";"      40";"       0";"       0";"       5";"       5";"       5";"      15";"       5";"     245";"      80";"     165";"     220";"      25";"     1.0";"    1305";"      15";"     0.7";"     1.2";"     0.6";"     0.9";"    14.9";"      19";"      19";"       0";"      1815";"       1";"       1";"    2823";"       6";"       8";"       4"
