"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWOZWaardeVanWoningen_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldeElektriciteitsleveringTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66";"Nettoarbeidsparticipatie_67";"PercentageWerknemers_68";"PercentageZelfstandigen_69";"AantalInkomensontvangers_70";"GemiddeldInkomenPerInkomensontvanger_71";"GemiddeldInkomenPerInwoner_72";"k_40PersonenMetLaagsteInkomen_73";"k_20PersonenMetHoogsteInkomen_74";"GemGestandaardiseerdInkomenVanHuish_75";"k_40HuishoudensMetLaagsteInkomen_76";"k_20HuishoudensMetHoogsteInkomen_77";"HuishoudensMetEenLaagInkomen_78";"HuishOnderOfRondSociaalMinimum_79";"HuishoudensTot110VanSociaalMinimum_80";"HuishoudensTot120VanSociaalMinimum_81";"MediaanVermogenVanParticuliereHuish_82";"PersonenPerSoortUitkeringBijstand_83";"PersonenPerSoortUitkeringAO_84";"PersonenPerSoortUitkeringWW_85";"PersonenPerSoortUitkeringAOW_86";"JongerenMetJeugdzorgInNatura_87";"PercentageJongerenMetJeugdzorg_88";"WmoClienten_89";"WmoClientenRelatief_90";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"OQOverheidOnderwijsEnZorg_98";"RUCultuurRecreatieOverigeDiensten_99";"PersonenautoSTotaal_100";"PersonenautoSBrandstofBenzine_101";"PersonenautoSOverigeBrandstof_102";"PersonenautoSPerHuishouden_103";"PersonenautoSNaarOppervlakte_104";"Motorfietsen_105";"AfstandTotHuisartsenpraktijk_106";"AfstandTotGroteSupermarkt_107";"AfstandTotKinderdagverblijf_108";"AfstandTotSchool_109";"ScholenBinnen3Km_110";"OppervlakteTotaal_111";"OppervlakteLand_112";"OppervlakteWater_113";"MeestVoorkomendePostcode_114";"Dekkingspercentage_115";"MateVanStedelijkheid_116";"Omgevingsadressendichtheid_117"
"222";"GM0361    ";"Alkmaar                                 ";"Gemeente  ";"GM0361    ";".";"  109896";"   54355";"   55541";"   16650";"   11986";"   28432";"   30643";"   22185";"   54901";"   39183";"   10642";"    5170";"   10713";"   14425";"    2116";"    1249";"    1536";"    2571";"    6953";"    1183";"      11";"    1026";"       9";"   52607";"   21492";"   14507";"   16608";"     2.1";"     995";"   51656";"     261";"      63";"      37";"      97";"       3";"      58";"      42";"      29";"      13";"       0";"      87";"      13";"    2530";"    1910";"    2700";"    2830";"    3260";"    3970";"    1960";"    2940";"    1190";"     800";"    1240";"    1470";"    1640";"    2120";"     960";"    1340";"     5.1";"   21710";"   35760";"   26620";"      70";"      84";"      16";"   89700";"    35.0";"    29.0";"    37.6";"    19.3";"    33.2";"    39.9";"    18.2";"     5.9";"     6.1";"     9.8";"    12.3";"    91.7";"    2440";"    6190";"    1010";"   20710";"    3195";"    12.2";"    7370";"      67";"   13815";"     215";"    1985";"    2460";"     980";"    1030";"    3005";"    2450";"    1695";"   56050";"   45455";"   10595";"     1.1";"     507";"    4465";"     1.0";"     0.8";"     0.6";"     0.7";"    11.3";"   11735";"   11046";"     689";"         .";"       .";"       2";"    2283"
"223";"WK036101  ";"Alkmaar                                 ";"Wijk      ";"WK036101  ";"3";"   14425";"    6880";"    7545";"    2105";"    1485";"    3350";"    3840";"    3645";"    7115";"    4945";"    1390";"     980";"    1275";"    1620";"     325";"     120";"     120";"     390";"     660";"     160";"      11";"     260";"      18";"    6970";"    2970";"    1925";"    2075";"     2.0";"    5656";"    7262";"     282";"      56";"      44";"      95";"       5";"      55";"      45";"      31";"      14";"       0";"      90";"      10";"    2440";"    1880";"    2690";"    2880";"    3270";"    3950";"    1850";"    2900";"    1280";"     760";"    1460";"    1820";"    2040";"    2600";"     930";"    1550";"     6.7";"    2330";"    3920";"    4220";"      68";"      81";"      19";"   11600";"    37.6";"    31.2";"    37.6";"    22.1";"    34.4";"    41.5";"    21.6";"     6.2";"     6.5";"     9.9";"    13.0";"   120.9";"     300";"     700";"     120";"    3460";"     290";"     8.7";"    1180";"      82";"    1700";"       5";"     200";"     200";"      80";"     170";"     455";"     385";"     210";"    5710";"    4775";"     935";"     0.8";"    2237";"     445";"     0.5";"     0.7";"     0.4";"     0.5";"    13.1";"     261";"     255";"       6";"         .";"       .";"       1";"    3255"
"224";"BU03610100";"Alkmaar                                 ";"Buurt     ";"BU03610100";"3";"    2120";"     970";"    1150";"     335";"     260";"     505";"     440";"     585";"    1000";"     645";"     255";"     215";"     200";"     670";"     180";"      25";"      25";"     185";"     240";"      30";"      13";"      75";"      34";"     950";"     430";"     205";"     320";"     2.1";"    6622";"    1099";"     186";"      32";"      68";"      94";"       6";"      21";"      79";"      61";"      18";"       0";"      93";"       7";"    2140";"    1810";"    2640";"    2890";"       .";"    4870";"    1930";"    2870";"     720";"     400";"    1210";"    1410";"       .";"    3070";"     530";"    1360";"    34.4";"     590";"     550";"     270";"      59";"      90";"      10";"    1600";"    27.4";"    22.2";"    50.9";"     9.8";"    26.2";"    60.0";"     9.5";"    11.9";"    13.0";"    19.2";"    25.9";"     9.4";"     110";"     130";"      10";"     550";"      50";"     9.6";"     350";"     165";"     125";"       0";"      15";"      25";"      15";"       5";"      25";"      25";"      15";"     680";"     570";"     110";"     0.7";"    2100";"      45";"     0.4";"     0.4";"     0.4";"     0.3";"     9.6";"      33";"      32";"       0";"      1814";"       1";"       2";"    2387"
"225";"BU03610101";"Alkmaar                                 ";"Buurt     ";"BU03610101";"1";"    1280";"     620";"     655";"     175";"     105";"     310";"     300";"     385";"     575";"     440";"     140";"     125";"      85";"     170";"      30";"      15";"      10";"      55";"      60";"      15";"      11";"      35";"      27";"     645";"     315";"     160";"     165";"     1.9";"    7994";"     652";"     239";"      45";"      55";"      97";"       3";"      56";"      44";"      36";"       8";"       0";"     100";"       0";"    2090";"    1570";"    2640";"    2960";"       .";"       .";"    1600";"    2470";"    1140";"     910";"    1350";"    1680";"       .";"       .";"     880";"    1350";"       .";"     230";"     370";"     280";"      70";"      84";"      16";"    1000";"    33.6";"    28.2";"    38.9";"    17.8";"    30.9";"    46.7";"    16.0";"     4.9";"     7.5";"    11.7";"    16.2";"    93.7";"      30";"      60";"      10";"     380";"      20";"     6.8";"     160";"     125";"     110";"       0";"      20";"      20";"       5";"       5";"      30";"      15";"      15";"     460";"     395";"      65";"     0.7";"    2856";"      50";"     0.4";"     0.5";"     0.4";"     0.5";"    11.1";"      17";"      16";"       1";"      1814";"       1";"       1";"    3060"
"226";"BU03610102";"Alkmaar                                 ";"Buurt     ";"BU03610102";"1";"    2065";"     985";"    1080";"     260";"     225";"     520";"     635";"     435";"    1105";"     620";"     230";"     115";"     170";"     290";"      50";"      20";"      30";"      80";"     110";"      25";"      12";"      25";"      12";"    1100";"     515";"     285";"     300";"     1.9";"    9852";"    1107";"     243";"      53";"      47";"      98";"       2";"      47";"      52";"      47";"       6";"       0";"      95";"       5";"    2130";"    1610";"    2540";"    2770";"    2410";"    2920";"    1670";"    2650";"    1200";"     860";"    1400";"    1750";"    1540";"    1950";"    1010";"    1420";"       .";"     390";"     710";"     490";"      67";"      85";"      15";"    1800";"    33.8";"    28.9";"    41.7";"    18.0";"    30.7";"    48.8";"    15.9";"    10.1";"    10.3";"    15.0";"    18.3";"    43.3";"      80";"     150";"      30";"     410";"      40";"     8.7";"     160";"      77";"     190";"       0";"      30";"      25";"      10";"      10";"      50";"      40";"      25";"     795";"     690";"     105";"     0.7";"    3860";"      70";"     0.6";"     0.5";"     0.4";"     0.4";"    14.0";"      22";"      21";"       1";"      1814";"       1";"       1";"    4117"
"227";"BU03610103";"Alkmaar                                 ";"Buurt     ";"BU03610103";"1";"     825";"     350";"     475";"      95";"      60";"     225";"     240";"     205";"     455";"     170";"     135";"      50";"      65";"     125";"      25";"      10";"      10";"      35";"      45";"       0";"       4";"       5";"       6";"     520";"     310";"      90";"     115";"     1.6";"   10288";"     528";"     172";"      65";"      35";"      97";"       3";"      14";"      86";"      73";"      14";"       0";"     100";"       0";"    1800";"    1670";"    1900";"    1780";"       .";"       .";"    1730";"    2220";"    1240";"     990";"    1340";"    1470";"       .";"       .";"    1230";"    1310";"       .";"     270";"     230";"     130";"      59";"      87";"      13";"     700";"    27.4";"    24.0";"    47.3";"     8.1";"    24.9";"    69.4";"     4.2";"    10.5";"    11.5";"    19.2";"    24.9";"    10.0";"      50";"      80";"      10";"     190";"      20";"    13.3";"      75";"      91";"      65";"       0";"      15";"      10";"       5";"       5";"      10";"      15";"      10";"     340";"     305";"      35";"     0.7";"    4114";"      25";"     0.5";"     0.7";"     0.5";"     0.5";"    12.6";"       9";"       8";"       0";"      1814";"       1";"       1";"    3654"
"228";"BU03610104";"Alkmaar                                 ";"Buurt     ";"BU03610104";"3";"    1630";"     760";"     870";"     250";"     145";"     315";"     395";"     535";"     740";"     570";"     150";"     170";"     150";"      90";"      10";"      20";"       5";"       5";"      55";"      10";"       7";"      90";"      55";"     705";"     310";"     200";"     200";"     2.0";"    9606";"     856";"     311";"      44";"      56";"      87";"      13";"      55";"      45";"      17";"      28";"       0";"      86";"      14";"    2570";"    1930";"    3120";"    3500";"    3960";"    3450";"    1790";"    3150";"    1420";"     920";"    1730";"    2380";"    2500";"    2510";"     940";"    1770";"       .";"     100";"     280";"     710";"      72";"      75";"      25";"    1200";"    45.4";"    37.0";"    32.1";"    30.8";"    39.2";"    37.2";"    29.0";"     4.9";"     4.7";"     7.6";"     9.8";"   266.3";"      20";"      60";"      10";"     510";"      30";"     8.8";"     190";"     117";"     280";"       0";"      10";"      25";"      10";"      40";"      85";"      85";"      25";"     600";"     475";"     125";"     0.8";"    3437";"      50";"     0.3";"     0.8";"     0.3";"     0.3";"    15.1";"      18";"      17";"       1";"      1814";"       1";"       1";"    4112"
"229";"BU03610105";"Alkmaar                                 ";"Buurt     ";"BU03610105";"3";"    1565";"     785";"     780";"     270";"     190";"     310";"     460";"     335";"     805";"     585";"     100";"      75";"     155";"      55";"       5";"       5";"      10";"       0";"      35";"      15";"      10";"       5";"       1";"     700";"     255";"     210";"     240";"     2.2";"    2651";"     700";"     414";"      69";"      31";"      94";"       6";"      79";"      21";"       6";"      15";"       0";"      94";"       6";"    2930";"    2130";"    3090";"    3470";"    3400";"    4300";"    2040";"    3160";"    1630";"     980";"    1680";"    2130";"    2610";"    2600";"    1180";"    1740";"       .";"     170";"     380";"     590";"      71";"      75";"      25";"    1200";"    45.8";"    36.6";"    33.4";"    31.0";"    41.4";"    26.5";"    34.9";"     3.3";"     3.3";"     4.4";"     6.2";"   307.5";"      10";"      40";"      10";"     330";"      40";"     9.7";"      70";"      45";"     275";"       0";"      30";"      30";"      10";"      35";"      75";"      80";"      20";"     655";"     525";"     130";"     0.9";"    1115";"      60";"     0.5";"     0.9";"     0.2";"     0.4";"    15.1";"      60";"      59";"       2";"      1815";"       1";"       1";"    3980"
"230";"BU03610106";"Alkmaar                                 ";"Buurt     ";"BU03610106";"3";"    1255";"     605";"     650";"     155";"     105";"     225";"     345";"     430";"     495";"     600";"      85";"      80";"     105";"      35";"       0";"       0";"      10";"       0";"      20";"      15";"      13";"      10";"       9";"     605";"     185";"     255";"     160";"     2.1";"    2617";"     612";"     439";"      70";"      30";"      97";"       3";"      89";"      11";"       1";"      10";"       0";"      75";"      25";"    2990";"    2670";"    2610";"    2750";"    3320";"    4090";"    2460";"    3060";"    1440";"     270";"    1420";"    1820";"    2030";"    2780";"    1280";"    1450";"    17.4";"     140";"     360";"     430";"      67";"      76";"      24";"    1100";"    47.3";"    40.7";"    30.3";"    32.7";"    47.0";"    17.6";"    35.7";"     2.2";"     1.7";"     2.2";"     2.5";"   353.1";"      10";"      30";"      10";"     410";"      20";"     8.8";"      40";"      32";"     185";"       0";"      15";"      25";"      10";"      25";"      50";"      30";"      25";"     625";"     520";"     105";"     1.0";"    1294";"      40";"     0.8";"     0.7";"     0.8";"     0.9";"    12.8";"      48";"      48";"       0";"      1815";"       1";"       2";"    2078"
"231";"BU03610107";"Alkmaar                                 ";"Buurt     ";"BU03610107";"3";"     540";"     255";"     280";"      85";"      45";"      95";"     155";"     165";"     220";"     240";"      40";"      35";"      45";"      10";"       0";"       0";"       0";"       0";"      10";"       5";"       9";"       5";"       9";"     250";"      95";"      85";"      75";"     2.2";"    2832";"     252";"     379";"      60";"      40";"      98";"       2";"      92";"       8";"       0";"       8";"       0";"      74";"      26";"    2790";"    2280";"    2820";"    3060";"    3120";"    4120";"    1920";"    2860";"    1400";"     820";"    1590";"    1800";"    1520";"    2400";"     840";"    1450";"       .";"      70";"     120";"     200";"      68";"      79";"      21";"     400";"    42.2";"    34.2";"    28.1";"    29.0";"    39.6";"    21.6";"    28.8";"     1.2";"     1.2";"     1.6";"     2.0";"   317.5";"       0";"      10";"      10";"     160";"      15";"    12.4";"      20";"      37";"      60";"       0";"       5";"       5";"       0";"       0";"      20";"      15";"      15";"     245";"     205";"      40";"     1.0";"    1277";"      10";"     0.7";"     1.2";"     0.6";"     0.9";"    12.7";"      19";"      19";"       0";"      1815";"       1";"       1";"    2867"
