"Populatie";"Kenmerken van huishoudens";"Perioden";"Regio's";"Particuliere huishoudens (x 1 000)";"Particuliere huishoudens relatief (%)";"Inkomen/Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Mediaan gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Gemiddeld besteedbaar inkomen (1 000 euro)";"Inkomen/Mediaan besteedbaar inkomen (1 000 euro)"
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Nederland";7892,4;100;32,4;28,6;46,8;38
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Groningen (PV)";287,8;100;27,4;25,1;38,2;31,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Fryslân (PV)";292,6;100;29,7;27,1;42,9;36,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Drenthe (PV)";218,5;100;30,9;28,3;44,9;38,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Overijssel (PV)";503,8;100;30,9;28;45,6;38,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Flevoland (PV)";175,4;100;31,5;29;47;41,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Gelderland (PV)";922,2;100;32;28,7;46,8;39
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Utrecht (PV)";603,9;100;34,9;30,7;51;41,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noord-Holland (PV)";1354,8;100;34,4;29,1;48,9;37,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuid-Holland (PV)";1691,2;100;32,5;28,5;46,8;37,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zeeland (PV)";174,4;100;31,6;28,6;45,4;38,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noord-Brabant (PV)";1146,8;100;33;29,3;48,1;39,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Limburg (PV)";521,1;100;30,5;27,5;43,4;36
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Amsterdam";461,1;100;33,2;26,1;44,2;31,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"'s-Gravenhage (gemeente)";259,3;100;30,8;26,1;43;32,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Heerlen";44,9;100;26,8;24,1;36,2;29,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Rotterdam";320,9;100;28,9;24,5;39,8;30,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Utrecht (gemeente)";177,2;100;31,3;28,3;43,6;34,4
