"Inkomen van huishoudens; huishoudenskenmerken, regio (indeling 2021)"
"Population: Private households incl. students"
"Characteristics of households: Private households"
"Periods: 2020*"
"";"Subject"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief";"Inkomen|Gemiddeld gestandaardiseerd inkomen";"Inkomen|Mediaan gestandaardiseerd inkomen";"Inkomen|Gemiddeld besteedbaar inkomen";"Inkomen|Mediaan besteedbaar inkomen"
"Regions";"x 1,000";"%";"1,000 euros";"1,000 euros";"1,000 euros";"1,000 euros"
"The Netherlands";"7,892.4";"100";"32.4";"28.6";"46.8";"38.0"
"Groningen (PV)";"287.8";"100";"27.4";"25.1";"38.2";"31.9"
"Fryslân (PV)";"292.6";"100";"29.7";"27.1";"42.9";"36.1"
"Drenthe (PV)";"218.5";"100";"30.9";"28.3";"44.9";"38.5"
"Overijssel (PV)";"503.8";"100";"30.9";"28.0";"45.6";"38.3"
"Flevoland (PV)";"175.4";"100";"31.5";"29.0";"47.0";"41.2"
"Gelderland (PV)";"922.2";"100";"32.0";"28.7";"46.8";"39.0"
"Utrecht (PV)";"603.9";"100";"34.9";"30.7";"51.0";"41.3"
"North Holland (PV)";"1,354.8";"100";"34.4";"29.1";"48.9";"37.7"
"South Holland (PV)";"1,691.2";"100";"32.5";"28.5";"46.8";"37.3"
"Zeeland (PV)";"174.4";"100";"31.6";"28.6";"45.4";"38.2"
"North Brabant (PV)";"1,146.8";"100";"33.0";"29.3";"48.1";"39.6"
"Limburg (PV)";"521.1";"100";"30.5";"27.5";"43.4";"36.0"
"Amsterdam";"461,1";"100";"33.2";"26.1";"44.2";"31.5"
"The Hague (municipality)";"259.3";"100";"30.8";"26.1";"43.0";"32.8"
"Heerlen";"44.9";"100";"26.8";"24.1";"36.2";"29.8"
"Rotterdam";"320.9";"100";"28.9";"24.5";"39.8";"30.6"
"Utrecht (municipality)";"177.2";"100";"31.3";"28.3";"43.6";"34.4"
"Bron: CBS"
