"Kerncijfers wijken en buurten 2017"
""
"";"";"Districts and neighborhoods"
"Subject";"";"The Netherlands";"Aa en Hunze";"District 00 Annen";"Annen";"Aalsmeer";"District 00 Aalsmeer";"Center"
"Regioaanduiding|Gemeentenaam";"name";"TheNetherlands";"AaenHunze";"AaenHunze";"AaenHunze";"Aalsmeer";"Aalsmeer";"Aalsmeer"
"Regioaanduiding|Soort regio";"Description";"Land";"Localauthority";"Neighborhood";"Neighbourhood";"Localauthority";"Neighborhood";"Neighbourhood"
"Regioaanduiding|Codering";"code";"NL00";"GM1680";"WK168000";"BU16800000";"GM0358";"WK035800";"BU03580000"
"Regioaanduiding|Indelingswijziging wijken en buurten";"code";".";".";"1";"1";".";"1";"1"
"Bevolking|Aantal inwoners";"number";"17081507";"25286";"3,545";"3,395";"31373";"12235";"2,435"
"Bevolking|Geslacht|Mannen";"number";"8475102";"12603";"1710";"1635";"15516";"5,945";"1145"
"Bevolking|Geslacht|Vrouwen";"number";"8606405";"12,683";"1835";"1760";"15,857";"6285";"1290"
"Bevolking|Leeftijdsgroepen|0 tot 15 jaar";"number";"2781768";"3,572";"555";"545";"5,866";"1815";"325"
"Bevolking|Leeftijdsgroepen|15 tot 25 jaar";"number";"2101648";"2,558";"350";"335";"3,484";"1320";"195"
"Bevolking|Leeftijdsgroepen|25 tot 45 jaar";"number";"4214276";"4,383";"615";"600";"7221";"2,590";"610"
"Bevolking|Leeftijdsgroepen|45 tot 65 jaar";"number";"4,824,155";"8467";"1155";"1085";"9,089";"3420";"575"
"Bevolking|Leeftijdsgroepen|65 jaar of ouder";"number";"3159660";"6306";"855";"820";"5713";"3105";"745"
"Bevolking|Burgerlijke staat|Ongehuwd";"number";"8201061";"9951";"1430";"1380";"14718";"5380";"1045"
"Bevolking|Burgerlijke staat|Gehuwd";"number";"6718468";"11,895";"1625";"1540";"13181";"5,035";"930"
"Bevolking|Burgerlijke staat|Gescheiden";"number";"1302258";"1793";"225";"220";"2001";"925";"160"
"Bevolking|Burgerlijke staat|Verweduwd";"number";"859720";"1647";"255";"250";"1473";"900";"310"
"Bevolking|Personen met een migratieachtergrond|Westers totaal";"number";"1689030";"1056";"120";"120";"3491";"1460";"345"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Niet-westers totaal";"number";"2173723";"528";"70";"65";"2,365";"850";"115"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Marokko";"number";"391088";"12";"0";"0";"436";"155";"10"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Nederlandse Antillen en Aruba";"number";"152,934";"34";"5";"5";"123";"35";"5"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Suriname";"number";"349,978";"64";"5";"5";"451";"115";"20"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Turkije";"number";"400367";"10";"0";"0";"114";"50";"15"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Overig niet-westers";"number";"879356";"408";"60";"60";"1241";"495";"70"
"Bevolking|Geboorte en sterfte|Geboorte totaal";"number";"169836";"164";"35";"30";"249";"100";"25"
"Bevolking|Geboorte en sterfte|Geboorte relatief";"per 1,000 inhabitants";"9";"6";"9";"10";"7";"8";"10"
"Bevolking|Geboorte en sterfte|Sterfte totaal";"number";"150214";"265";"35";"30";"274";"190";"85"
"Bevolking|Geboorte en sterfte|Sterfte relatief";"per 1,000 inhabitants";"8";"10";"10";"9";"8";"15";"34"
"Bevolking|Particuliere huishoudens|Huishoudens totaal";"number";"7794075";"10,991";"1535";"1470";"12,965";"5465";"1165"
"Bevolking|Particuliere huishoudens|Eenpersoonshuishoudens";"number";"2,961,228";"3,087";"425";"415";"3803";"1900";"500"
"Bevolking|Particuliere huishoudens|Huishoudens zonder kinderen";"number";"2247191";"4320";"580";"545";"3805";"1735";"375"
"Bevolking|Particuliere huishoudens|Huishoudens met kinderen";"number";"2,585,656";"3,584";"535";"515";"5,357";"1825";"285"
"Bevolking|Particuliere huishoudens|Gemiddelde huishoudensgrootte";"number";"2.2";"2.2";"2.3";"2.3";"2.4";"2.2";"2.0"
"Bevolking|Bevolkingsdichtheid";"number of inhabitants per km²";"507";"92";"242";"1345";"1559";"1741";"4,542"
"Wonen|Woningvoorraad";"number";"7686175";"11145";"1599";"1536";"12,919";"5520";"1265"
"Wonen|Gemiddelde WOZ-waarde van woningen";"x 1,000 euros";"216";"223";"226";"220";"294";"283";"302"
"Wonen|Woningen naar type|Percentage eengezinswoning";"%";"64";"92";"91";"91";"79";"73";"38"
"Wonen|Woningen naar type|Percentage meergezinswoning";"%";"36";"8";"9";"9";"21";"27";"62"
"Wonen|Woningen naar bewoning|Percentage bewoond";"%";"95";"95";"96";"96";"96";"95";"92"
"Wonen|Woningen naar bewoning|Percentage onbewoond";"%";"5";"5";"4";"4";"4";"5";"8"
"Wonen|Woningen naar eigendom|Koopwoningen";"%";"56";"71";"70";"69";"63";"58";"55"
"Wonen|Woningen naar eigendom|Huurwoningen|Huurwoningen totaal";"%";"43";"28";"26";"27";"35";"38";"34"
"Wonen|Woningen naar eigendom|Huurwoningen|In bezit woningcorporatie";"%";"29";"18";"16";"17";"24";"24";"14"
"Wonen|Woningen naar eigendom|Huurwoningen|In bezit overige verhuurders";"%";"13";"10";"10";"10";"11";"14";"20"
"Wonen|Woningen naar eigendom|Eigendom onbekend";"%";"1";"2";"4";"4";"2";"4";"10"
"Wonen|Woningen naar bouwjaar|Bouwjaar voor 2000";"%";"85";"90";"89";"90";"67";"80";"58"
"Wonen|Woningen naar bouwjaar|Bouwjaar vanaf 2000";"%";"15";"10";"11";"10";"33";"20";"42"
"Energie|Gemiddeld elektriciteitsverbruik|Gemiddeld elektriciteitsverbruik totaal";"kWh";"2,860";"3220";"3,270";"3220";"3230";"3,080";"2,960"
"Energie|Gemiddeld elektriciteitsverbruik|Naar woningtype|Appartement";"kWh";"2,050";"1940";"1630";"1630";"2020";"2130";"2130"
"Energie|Gemiddeld elektriciteitsverbruik|Naar woningtype|Tussenwoning";"kWh";"2,990";"2,370";"2,480";"2,480";"3210";"3,080";"3610"
"Energie|Gemiddeld elektriciteitsverbruik|Naar woningtype|Hoekwoning";"kWh";"3100";"2,640";"2,860";"2,860";"3,320";"3120";"3,580"
"Energie|Gemiddeld elektriciteitsverbruik|Naar woningtype|Twee-onder-één-kap-woning";"kWh";"3430";"3,090";"3,300";"3,300";"3810";"3710";"3,990"
