"Perioden";"Bbp vanuit de inkomensvorming/Waarde in werkelijke prijzen/Beloning van werknemers/Totaal (mln euro)";"Bbp vanuit de inkomensvorming/Waarde in werkelijke prijzen/Beloning van werknemers/Lonen (mln euro)";"Bbp vanuit de inkomensvorming/Waarde in werkelijke prijzen/Beloning van werknemers/Sociale premies t.l.v. werkgevers (mln euro)";"Bbp vanuit de inkomensvorming/Waarde in werkelijke prijzen/Belastingen en subsidies/Saldo (mln euro)";"Bbp vanuit de inkomensvorming/Waarde in werkelijke prijzen/Belastingen en subsidies/Belastingen op productie en invoer (mln euro)";"Bbp vanuit de inkomensvorming/Waarde in werkelijke prijzen/Belastingen en subsidies/Subsidies (mln euro)";"Bbp vanuit de inkomensvorming/Waarde in werkelijke prijzen/Exploitatieoverschot/Bruto (mln euro)";"Bbp vanuit de inkomensvorming/Waarde in werkelijke prijzen/Exploitatieoverschot/Verbruik van vaste activa (-) (mln euro)";"Bbp vanuit de inkomensvorming/Waarde in werkelijke prijzen/Exploitatieoverschot/Netto (mln euro)";"Bbp vanuit de inkomensvorming/Waarde in werkelijke prijzen/Bruto binnenlands product (mln euro)";"Bbp vanuit de inkomensvorming/Waarde prijsniveau 2015/Beloning van werknemers/Totaal (mln euro)";"Bbp vanuit de inkomensvorming/Waarde prijsniveau 2015/Beloning van werknemers/Lonen (mln euro)";"Bbp vanuit de inkomensvorming/Waarde prijsniveau 2015/Beloning van werknemers/Sociale premies t.l.v. werkgevers (mln euro)";"Bbp vanuit de inkomensvorming/Waarde prijsniveau 2015/Belastingen en subsidies/Saldo (mln euro)";"Bbp vanuit de inkomensvorming/Waarde prijsniveau 2015/Belastingen en subsidies/Belastingen op productie en invoer (mln euro)";"Bbp vanuit de inkomensvorming/Waarde prijsniveau 2015/Belastingen en subsidies/Subsidies (mln euro)";"Bbp vanuit de inkomensvorming/Waarde prijsniveau 2015/Exploitatieoverschot/Bruto (mln euro)";"Bbp vanuit de inkomensvorming/Waarde prijsniveau 2015/Exploitatieoverschot/Verbruik van vaste activa (-) (mln euro)";"Bbp vanuit de inkomensvorming/Waarde prijsniveau 2015/Exploitatieoverschot/Netto (mln euro)";"Bbp vanuit de inkomensvorming/Waarde prijsniveau 2015/Bruto binnenlands product (mln euro)";"Bbp vanuit de inkomensvorming/Volumemutatie t.o.v. voorafgaand jaar/Beloning van werknemers/Totaal (%)";"Bbp vanuit de inkomensvorming/Volumemutatie t.o.v. voorafgaand jaar/Beloning van werknemers/Lonen (%)";"Bbp vanuit de inkomensvorming/Volumemutatie t.o.v. voorafgaand jaar/Beloning van werknemers/Sociale premies t.l.v. werkgevers (%)";"Bbp vanuit de inkomensvorming/Volumemutatie t.o.v. voorafgaand jaar/Belastingen en subsidies/Saldo (%)";"Bbp vanuit de inkomensvorming/Volumemutatie t.o.v. voorafgaand jaar/Belastingen en subsidies/Belastingen op productie en invoer (%)";"Bbp vanuit de inkomensvorming/Volumemutatie t.o.v. voorafgaand jaar/Belastingen en subsidies/Subsidies (%)";"Bbp vanuit de inkomensvorming/Volumemutatie t.o.v. voorafgaand jaar/Exploitatieoverschot/Bruto (%)";"Bbp vanuit de inkomensvorming/Volumemutatie t.o.v. voorafgaand jaar/Exploitatieoverschot/Verbruik van vaste activa (-) (%)";"Bbp vanuit de inkomensvorming/Volumemutatie t.o.v. voorafgaand jaar/Exploitatieoverschot/Netto (%)";"Bbp vanuit de inkomensvorming/Volumemutatie t.o.v. voorafgaand jaar/Bruto binnenlands product (%)";"Bbp vanuit de inkomensvorming/Prijsindexcijfers/Beloning van werknemers/Totaal (2015 =100)";"Bbp vanuit de inkomensvorming/Prijsindexcijfers/Beloning van werknemers/Lonen (2015 =100)";"Bbp vanuit de inkomensvorming/Prijsindexcijfers/Beloning van werknemers/Sociale premies t.l.v. werkgevers (2015 =100)";"Bbp vanuit de inkomensvorming/Prijsindexcijfers/Belastingen en subsidies/Saldo (2015 =100)";"Bbp vanuit de inkomensvorming/Prijsindexcijfers/Belastingen en subsidies/Belastingen op productie en invoer (2015 =100)";"Bbp vanuit de inkomensvorming/Prijsindexcijfers/Belastingen en subsidies/Subsidies (2015 =100)";"Bbp vanuit de inkomensvorming/Prijsindexcijfers/Exploitatieoverschot/Bruto (2015 =100)";"Bbp vanuit de inkomensvorming/Prijsindexcijfers/Exploitatieoverschot/Verbruik van vaste activa (-) (2015 =100)";"Bbp vanuit de inkomensvorming/Prijsindexcijfers/Exploitatieoverschot/Netto (2015 =100)";"Bbp vanuit de inkomensvorming/Prijsindexcijfers/Bruto binnenlands product (2015 =100)"
"1995";165485;139141;26344;31178;35959;4781;132884;52442;80442;329547;;;;56726;61127;5271;;68591;;469502;;;;;;;;;;;;;;55;58,8;90,7;;76,5;;70,2
"2000";226691;179031;47660;44720;51827;7107;180596;69130;111466;452007;;;;68318;76086;8048;;83274;;580703;;;;2,1;2,3;3,8;;5,2;;4,2;;;;65,5;68,1;88,3;;83;;77,8
"2001";239070;191740;47330;49973;57213;7240;192838;74670;118168;481881;;;;69609;77864;8463;;87102;;594216;;;;1,9;2,3;5,1;;4,6;;2,3;;;;71,8;73,5;85,6;;85,7;;81,1
"2002";251061;199254;51807;51413;58851;7438;198663;79534;119129;501137;;;;70106;78019;8179;;90083;;595507;;;;0,7;0,2;-3,4;;3,4;;0,2;;;;73,3;75,4;90,9;;88,3;;84,2
"2003";257855;203442;54413;52894;60341;7447;202061;82760;119301;512810;;;;70414;78161;8048;;92320;;596434;;;;0,4;0,2;-1,6;;2,5;;0,2;;;;75,1;77,2;92,5;;89,6;;86
"2004";261594;205504;56090;55001;62919;7918;212691;85625;127066;529286;;;;70812;79164;8561;;94268;;608273;;;;0,6;1,3;6,4;;2,1;;2;;;;77,7;79,5;92,5;;90,8;;87
"2005";265786;209475;56311;58575;66167;7592;226522;88591;137931;550883;;;;73104;80776;8022;;96177;;620748;;;;3,2;2;-6,3;;2;;2,1;;;;80,1;81,9;94,6;;92,1;;88,7
"2006";274630;219149;55481;62783;70788;8005;247133;92481;154652;584546;;;;76061;84048;8351;;98303;;642232;;;;4;4,1;4,1;;2,2;;3,5;;;;82,5;84,2;95,9;;94,1;;91
"2007";290422;232353;58069;64571;73184;8613;264177;97227;166950;619170;;;;78825;86498;8123;;101291;;666462;;;;3,6;2,9;-2,7;;3;;3,8;;;;81,9;84,6;106;;96;;92,9
"2008";307606;243231;64375;66532;75614;9082;273060;102612;170448;647198;;;;77868;86202;8627;;104632;;680926;;;;-1,2;-0,3;6,2;;3,3;;2,2;;;;85,4;87,7;105,3;;98,1;;95
"2009";312196;246623;65573;60399;71193;10794;252247;106530;145717;624842;;;;72363;81254;8971;;107026;;655958;;;;-7,1;-5,7;4;;2,3;;-3,7;;;;83,5;87,6;120,3;;99,5;;95,3
"2010";311717;247590;64127;61610;72553;10943;265860;109791;156069;639187;;;;71903;81236;9278;;108741;;664765;;;;-0,6;0;3,4;;1,6;;1,3;;;;85,7;89,3;117,9;;101;;96,2
"2011";319557;252880;66677;62034;72389;10355;268768;110021;158747;650359;;;;71388;80385;9008;;110155;;675077;;;;-0,7;-1;-2,9;;1,3;;1,6;;;;86,9;90,1;115;;99,9;;96,3
"2012";323867;254388;69479;61454;70984;9530;267645;111232;156413;652966;;;;69442;77835;8480;;111711;;668121;;;;-2,7;-3,2;-5,9;;1,4;;-1;;;;88,5;91,2;112,4;;99,6;;97,7
"2013";324676;255269;69407;64856;73774;8918;270931;113167;157764;660463;;;;66510;75154;8614;;113208;;667252;;;;-4,2;-3,4;1,6;;1,3;;-0,1;;;;97,5;98,2;103,5;;100;;99
"2014";328166;254918;73248;69618;78079;8461;273776;114366;159410;671560;;;;67897;76128;8230;;114467;;676749;;;;2,1;1,3;-4,5;;1,1;;1,4;;;;102,5;102,6;102,8;;99,9;;99,2
"2015";330267;260690;69577;70790;79430;8640;288951;115742;173209;690008;;;;70790;79430;8640;;115742;;690008;;;;4,3;4,3;5;;1,1;;2;;;;100;100;100;;100;;100
"2016";340586;268805;71781;75404;84725;9321;292347;117912;174435;708337;;;;73389;81991;8602;;118022;;705131;;;;3,7;3,2;-0,4;;2;;2,2;;;;102,7;103,3;108,4;;99,9;;100,5
"2017";352818;278473;74345;78256;88314;10058;307072;121452;185620;738146;;;;75416;84171;8759;;120674;;725657;;;;2,8;2,7;1,8;;2,2;;2,9;;;;103,8;104,9;114,8;;100,6;;101,7
"2018";369840;290635;79205;83263;93872;10609;320884;127456;193428;773987;;;;77490;86361;8885;;123622;;742789;;;;2,7;2,6;1,4;;2,4;;2,4;;;;107,4;108,7;119,4;;103,1;;104,2
"2019";388869;304470;84399;89759;101077;11318;334427;133227;201200;813055;;;;77908;87440;9492;;125847;;757315;;;;0,5;1,2;6,8;;1,8;;2;;;;115,2;115,6;119,2;;105,9;;107,4
"2020";402735;314737;87998;65629;101595;35966;328166;139375;188791;796530;;;;74671;86686;11888;;128514;;727885;;;;-4,2;-0,9;25,3;;2,1;;-3,9;;;;87,9;117,2;302,5;;108,5;;109,4
