"Voorraad woningen; gemiddeld oppervlak; woningtype, bouwjaarklasse, regio"
""
"";""
"";"Subject";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte"
"";"House type";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling"
"";"Year of construction class";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025"
"Regions";"Periods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2"
"The Netherlands";"2012";"7386743";"76805";"372297";"1004001";"826390";"489660";"";"4855858";"31450";"256325";"699625";"543619";"251992";"";"2,530,885";"45355";"115,972";"304376";"282771";"237668";"";"119";"149";"108";"115";"132";"132";"";"138";"229";"124";"130";"151";"164";"";"84";"87";"73";"79";"96";"98";""
"The Netherlands";"2013";"7,449,298";"77434";"370738";"1003671";"826600";"556368";"";"4,875,461";"31597";"254,986";"698133";"542773";"282568";"";"2,573,837";"45,837";"115752";"305538";"283827";"273,800";"";"120";"147";"108";"115";"132";"130";"";"139";"231";"124";"131";"152";"163";"";"84";"88";"73";"79";"95";"96";""
"The Netherlands";"2014";"7535316";"75324";"369091";"1010317";"829376";"617127";"";"4,889,114";"31607";"253,594";"698068";"539751";"304684";"";"2646202";"43717";"115497";"312249";"289625";"312443";"";"119";"149";"108";"114";"132";"127";"";"139";"232";"125";"131";"152";"162";"";"82";"89";"73";"77";"93";"93";""
"The Netherlands";"2015";"7,587,964";"70482";"367606";"1013086";"830779";"663605";"";"4905957";"31613";"252219";"697739";"539160";"327219";"";"2682007";"38,869";"115387";"315347";"291619";"336386";"";"119";"156";"108";"114";"131";"126";"";"139";"234";"124";"131";"152";"161";"";"82";"91";"73";"77";"92";"92";""
"The Netherlands";"2016";"7641323";"71046";"365436";"1016491";"831875";"673016";"40823";"4,927,588";"31642";"251025";"697632";"538657";"330367";"23,697";"2713735";"39404";"114411";"318859";"293218";"342649";"17126";"119";"156";"108";"114";"131";"126";"113";"139";"235";"125";"131";"153";"162";"142";"82";"92";"73";"76";"92";"91";"72"
"The Netherlands";"2017";"7686178";"70621";"363860";"1018131";"832463";"673373";"96180";"4,956,862";"31596";"250005";"697197";"538026";"330413";"57336";"2729313";"39025";"113855";"320934";"294437";"342960";"38,844";"119";"157";"108";"114";"131";"126";"114";"140";"235";"125";"131";"153";"162";"143";"81";"92";"73";"76";"92";"92";"70"
"The Netherlands";"2018";"7740984";"71332";"361997";"1019713";"831209";"673921";"158921";"4,987,389";"31706";"248589";"696556";"536330";"331114";"94,928";"2,753,595";"39626";"113408";"323157";"294,879";"342807";"63,993";"119";"156";"109";"114";"131";"126";"114";"140";"235";"125";"131";"153";"162";"144";"81";"93";"73";"76";"91";"92";"70"
