"Woningtype";"Bouwjaarklasse";"Perioden";"Regio's";"Beginstand woningvoorraad (aantal)";"Gemiddelde oppervlakte (m2)"
"Totaal";"Totaal";"2012";"Nederland";7386743;119
"Totaal";"Totaal";"2013";"Nederland";7449298;120
"Totaal";"Totaal";"2014";"Nederland";7535316;119
"Totaal";"Totaal";"2015";"Nederland";7587964;119
"Totaal";"Totaal";"2016";"Nederland";7641323;119
"Totaal";"Totaal";"2017";"Nederland";7686178;119
"Totaal";"Totaal";"2018";"Nederland";7740984;119
"Totaal";"Totaal";"2019";"Nederland";7814912;119
"Totaal";"Totaal";"2020";"Nederland";7891786;119
"Totaal";"Totaal";"2021";"Nederland";7966331;119
"Totaal";"Totaal";"2022";"Nederland";8045580;120
"Totaal";"Totaal";"2023";"Nederland";8125229;120
"Totaal";"Totaal";"2024";"Nederland";8204049;120
"Totaal";"Totaal";"2025";"Nederland";8274478;120
"Totaal";"Totaal";"2026";"Nederland";8344953;120
"Totaal";"Totaal";"2012";"Amsterdam";408888;73
"Totaal";"Totaal";"2013";"Amsterdam";411127;74
"Totaal";"Totaal";"2014";"Amsterdam";413697;75
"Totaal";"Totaal";"2015";"Amsterdam";416966;75
"Totaal";"Totaal";"2016";"Amsterdam";424390;75
"Totaal";"Totaal";"2017";"Amsterdam";428035;75
"Totaal";"Totaal";"2018";"Amsterdam";432715;76
"Totaal";"Totaal";"2019";"Amsterdam";441490;76
"Totaal";"Totaal";"2020";"Amsterdam";447351;76
"Totaal";"Totaal";"2021";"Amsterdam";449989;76
"Totaal";"Totaal";"2022";"Amsterdam";458397;76
"Totaal";"Totaal";"2023";"Amsterdam";474866;77
"Totaal";"Totaal";"2024";"Amsterdam";480852;77
"Totaal";"Totaal";"2025";"Amsterdam";486769;77
"Totaal";"Totaal";"2026";"Amsterdam";494449;77
"Totaal";"Totaal";"2012";"'s-Gravenhage (gemeente)";241376;96
"Totaal";"Totaal";"2013";"'s-Gravenhage (gemeente)";244880;95
"Totaal";"Totaal";"2014";"'s-Gravenhage (gemeente)";249994;94
"Totaal";"Totaal";"2015";"'s-Gravenhage (gemeente)";251374;94
"Totaal";"Totaal";"2016";"'s-Gravenhage (gemeente)";253210;94
"Totaal";"Totaal";"2017";"'s-Gravenhage (gemeente)";255103;94
"Totaal";"Totaal";"2018";"'s-Gravenhage (gemeente)";256694;94
"Totaal";"Totaal";"2019";"'s-Gravenhage (gemeente)";259264;94
"Totaal";"Totaal";"2020";"'s-Gravenhage (gemeente)";262492;94
"Totaal";"Totaal";"2021";"'s-Gravenhage (gemeente)";265959;94
"Totaal";"Totaal";"2022";"'s-Gravenhage (gemeente)";267654;94
"Totaal";"Totaal";"2023";"'s-Gravenhage (gemeente)";270220;94
"Totaal";"Totaal";"2024";"'s-Gravenhage (gemeente)";272242;94
"Totaal";"Totaal";"2025";"'s-Gravenhage (gemeente)";274171;95
"Totaal";"Totaal";"2026";"'s-Gravenhage (gemeente)";274725;95
"Totaal";"Totaal";"2012";"Rotterdam";306222;91
"Totaal";"Totaal";"2013";"Rotterdam";307349;92
"Totaal";"Totaal";"2014";"Rotterdam";308291;91
"Totaal";"Totaal";"2015";"Rotterdam";311324;90
"Totaal";"Totaal";"2016";"Rotterdam";311168;90
"Totaal";"Totaal";"2017";"Rotterdam";309693;90
"Totaal";"Totaal";"2018";"Rotterdam";311336;90
"Totaal";"Totaal";"2019";"Rotterdam";311597;90
"Totaal";"Totaal";"2020";"Rotterdam";315561;90
"Totaal";"Totaal";"2021";"Rotterdam";317945;90
"Totaal";"Totaal";"2022";"Rotterdam";319210;90
"Totaal";"Totaal";"2023";"Rotterdam";321282;90
"Totaal";"Totaal";"2024";"Rotterdam";324597;90
"Totaal";"Totaal";"2025";"Rotterdam";328408;90
"Totaal";"Totaal";"2026";"Rotterdam";330620;91
"Totaal";"Totaal";"2012";"Utrecht (gemeente)";142976;96
"Totaal";"Totaal";"2013";"Utrecht (gemeente)";145123;96
"Totaal";"Totaal";"2014";"Utrecht (gemeente)";146329;96
"Totaal";"Totaal";"2015";"Utrecht (gemeente)";147511;96
"Totaal";"Totaal";"2016";"Utrecht (gemeente)";149322;97
"Totaal";"Totaal";"2017";"Utrecht (gemeente)";151409;96
"Totaal";"Totaal";"2018";"Utrecht (gemeente)";150831;97
"Totaal";"Totaal";"2019";"Utrecht (gemeente)";153845;97
"Totaal";"Totaal";"2020";"Utrecht (gemeente)";156678;97
"Totaal";"Totaal";"2021";"Utrecht (gemeente)";159671;96
"Totaal";"Totaal";"2022";"Utrecht (gemeente)";162451;95
"Totaal";"Totaal";"2023";"Utrecht (gemeente)";165400;95
"Totaal";"Totaal";"2024";"Utrecht (gemeente)";167124;95
"Totaal";"Totaal";"2025";"Utrecht (gemeente)";168736;95
"Totaal";"Totaal";"2026";"Utrecht (gemeente)";171457;94
"Totaal";"1000 tot 1850";"2012";"Nederland";76805;149
"Totaal";"1000 tot 1850";"2013";"Nederland";77434;147
"Totaal";"1000 tot 1850";"2014";"Nederland";75324;149
"Totaal";"1000 tot 1850";"2015";"Nederland";70482;156
"Totaal";"1000 tot 1850";"2016";"Nederland";71046;156
"Totaal";"1000 tot 1850";"2017";"Nederland";70621;157
"Totaal";"1000 tot 1850";"2018";"Nederland";71332;156
"Totaal";"1000 tot 1850";"2019";"Nederland";72393;155
"Totaal";"1000 tot 1850";"2020";"Nederland";73130;155
"Totaal";"1000 tot 1850";"2021";"Nederland";73672;155
"Totaal";"1000 tot 1850";"2022";"Nederland";67190;166
"Totaal";"1000 tot 1850";"2023";"Nederland";68063;166
"Totaal";"1000 tot 1850";"2024";"Nederland";68714;166
"Totaal";"1000 tot 1850";"2025";"Nederland";69405;165
"Totaal";"1000 tot 1850";"2026";"Nederland";72005;163
"Totaal";"1000 tot 1850";"2012";"Amsterdam";29673;71
"Totaal";"1000 tot 1850";"2013";"Amsterdam";29749;77
"Totaal";"1000 tot 1850";"2014";"Amsterdam";26950;78
"Totaal";"1000 tot 1850";"2015";"Amsterdam";21640;81
"Totaal";"1000 tot 1850";"2016";"Amsterdam";21732;82
"Totaal";"1000 tot 1850";"2017";"Amsterdam";21057;83
"Totaal";"1000 tot 1850";"2018";"Amsterdam";21137;83
"Totaal";"1000 tot 1850";"2019";"Amsterdam";21375;84
"Totaal";"1000 tot 1850";"2020";"Amsterdam";21445;84
"Totaal";"1000 tot 1850";"2021";"Amsterdam";21455;85
"Totaal";"1000 tot 1850";"2022";"Amsterdam";14500;93
"Totaal";"1000 tot 1850";"2023";"Amsterdam";14881;94
"Totaal";"1000 tot 1850";"2024";"Amsterdam";14909;93
"Totaal";"1000 tot 1850";"2025";"Amsterdam";14936;94
"Totaal";"1000 tot 1850";"2026";"Amsterdam";15163;93
"Totaal";"1000 tot 1850";"2012";"'s-Gravenhage (gemeente)";1495;111
"Totaal";"1000 tot 1850";"2013";"'s-Gravenhage (gemeente)";1522;108
"Totaal";"1000 tot 1850";"2014";"'s-Gravenhage (gemeente)";1536;107
"Totaal";"1000 tot 1850";"2015";"'s-Gravenhage (gemeente)";1555;107
"Totaal";"1000 tot 1850";"2016";"'s-Gravenhage (gemeente)";1550;107
"Totaal";"1000 tot 1850";"2017";"'s-Gravenhage (gemeente)";1421;111
"Totaal";"1000 tot 1850";"2018";"'s-Gravenhage (gemeente)";1440;111
"Totaal";"1000 tot 1850";"2019";"'s-Gravenhage (gemeente)";1453;112
"Totaal";"1000 tot 1850";"2020";"'s-Gravenhage (gemeente)";1455;113
"Totaal";"1000 tot 1850";"2021";"'s-Gravenhage (gemeente)";1449;112
"Totaal";"1000 tot 1850";"2022";"'s-Gravenhage (gemeente)";1465;111
"Totaal";"1000 tot 1850";"2023";"'s-Gravenhage (gemeente)";1510;109
"Totaal";"1000 tot 1850";"2024";"'s-Gravenhage (gemeente)";1521;110
"Totaal";"1000 tot 1850";"2025";"'s-Gravenhage (gemeente)";1529;110
"Totaal";"1000 tot 1850";"2026";"'s-Gravenhage (gemeente)";1536;109
"Totaal";"1000 tot 1850";"2012";"Rotterdam";20;147
"Totaal";"1000 tot 1850";"2013";"Rotterdam";20;177
"Totaal";"1000 tot 1850";"2014";"Rotterdam";20;177
"Totaal";"1000 tot 1850";"2015";"Rotterdam";20;179
"Totaal";"1000 tot 1850";"2016";"Rotterdam";21;173
"Totaal";"1000 tot 1850";"2017";"Rotterdam";21;174
"Totaal";"1000 tot 1850";"2018";"Rotterdam";21;174
"Totaal";"1000 tot 1850";"2019";"Rotterdam";21;174
"Totaal";"1000 tot 1850";"2020";"Rotterdam";21;174
"Totaal";"1000 tot 1850";"2021";"Rotterdam";21;174
"Totaal";"1000 tot 1850";"2022";"Rotterdam";21;175
"Totaal";"1000 tot 1850";"2023";"Rotterdam";21;175
"Totaal";"1000 tot 1850";"2024";"Rotterdam";21;175
"Totaal";"1000 tot 1850";"2025";"Rotterdam";20;156
"Totaal";"1000 tot 1850";"2026";"Rotterdam";25;134
"Totaal";"1000 tot 1850";"2012";"Utrecht (gemeente)";2480;112
"Totaal";"1000 tot 1850";"2013";"Utrecht (gemeente)";2491;112
"Totaal";"1000 tot 1850";"2014";"Utrecht (gemeente)";2508;112
"Totaal";"1000 tot 1850";"2015";"Utrecht (gemeente)";2527;112
"Totaal";"1000 tot 1850";"2016";"Utrecht (gemeente)";2539;112
"Totaal";"1000 tot 1850";"2017";"Utrecht (gemeente)";2540;111
"Totaal";"1000 tot 1850";"2018";"Utrecht (gemeente)";2521;112
"Totaal";"1000 tot 1850";"2019";"Utrecht (gemeente)";2587;111
"Totaal";"1000 tot 1850";"2020";"Utrecht (gemeente)";2660;110
"Totaal";"1000 tot 1850";"2021";"Utrecht (gemeente)";2619;110
"Totaal";"1000 tot 1850";"2022";"Utrecht (gemeente)";2562;111
"Totaal";"1000 tot 1850";"2023";"Utrecht (gemeente)";2594;111
"Totaal";"1000 tot 1850";"2024";"Utrecht (gemeente)";2647;109
"Totaal";"1000 tot 1850";"2025";"Utrecht (gemeente)";2724;106
"Totaal";"1000 tot 1850";"2026";"Utrecht (gemeente)";2739;107
"Totaal";"1945 tot 1955";"2012";"Nederland";372297;108
"Totaal";"1945 tot 1955";"2013";"Nederland";370738;108
"Totaal";"1945 tot 1955";"2014";"Nederland";369091;108
"Totaal";"1945 tot 1955";"2015";"Nederland";367606;108
"Totaal";"1945 tot 1955";"2016";"Nederland";365436;108
"Totaal";"1945 tot 1955";"2017";"Nederland";363860;108
"Totaal";"1945 tot 1955";"2018";"Nederland";361997;109
