"income_category","renter_group","year","mean_unaffordability","n"
"Low income","High renter share","2015",7.60573800144863,60
"Low income","High renter share","2018",7.4830365898728,36
"Low income","High renter share","2021",7.32903258323787,6
"Low income","Low renter share","2015",9.33908804479724,224
"Low income","Low renter share","2018",8.80806549196464,108
"Low income","Low renter share","2021",8.79143660845709,14
"Medium income","High renter share","2015",8.53667816255203,20
"Medium income","High renter share","2018",8.45371759065977,40
"Medium income","High renter share","2021",9.04896641697071,60
"Medium income","Low renter share","2015",9.57816116468671,80
"Medium income","Low renter share","2018",9.39382830621322,183
"Medium income","Low renter share","2021",10.1001949281061,218
"High income","High renter share","2015",10.7192575406032,1
"High income","High renter share","2018",10.9592695664124,3
"High income","High renter share","2021",11.5593350993328,10
"High income","Low renter share","2015",11.3506467623898,8
"High income","Low renter share","2018",11.3032052228665,10
"High income","Low renter share","2021",11.6562341987154,44
